,Unnamed: 0.1,Unnamed: 0,Vendor Id,Status,Name,Date,UpdateProfile,Found_2023-08-22 12,Found_2023-08-22 15
230,230,230,57706,ACTIVE,بوفه کانتینر (وزرا),2023-08-11 8:15:04,,,
231,231,231,58792,ACTIVE,شیرینی بوفه کانتینر (وزرا),2023-08-11 8:15:04,,,
232,232,232,32665,ACTIVE,آبمیوه بستنی کولاک,2023-08-11 9:15:03,,,
233,233,233,48400,ACTIVE,قنادی ونوس,2023-08-11 9:15:03,,,
234,234,234,37852,ACTIVE,پیراشکی خسروی (کریمخان),2023-08-11 9:45:03,,,
235,235,235,43297,ACTIVE,آبمیوه خسروی,2023-08-11 9:45:03,,,
236,236,236,294799,ACTIVE,کافه بریانکده مورو,2023-08-11 9:45:09,,,
237,237,237,58469,ACTIVE,کلین فود (امام خمینی),2023-08-11 10:15:05,,,
238,238,238,58709,ACTIVE,آجیل و خشکبار تواضع اصل (پاسداران),2023-08-11 10:15:05,,,
239,239,239,213700,ACTIVE,پت شاپ کلبه حیوانات (دروس),2023-08-11 10:15:08,,,
240,240,240,310873,ACTIVE,باقلوای تک سین (شعبه اکباتان),2023-08-11 10:15:14,,,
241,241,241,309593,ACTIVE,شیرینی پراگ (میرداماد),2023-08-11 10:45:12,,,
242,242,242,40555,ACTIVE,بیک,2023-08-11 11:45:06,,,
243,243,243,97797,ACTIVE,فست فود پاچینی,2023-08-11 11:45:14,,,
244,244,244,109424,ACTIVE,پيتزا بوته,2023-08-11 11:45:14,,,
245,245,245,320056,ACTIVE,کته دیگ (نیروی هوایی),2023-08-11 11:45:28,,,
246,246,246,10649,ACTIVE,پیروک فود,2023-08-11 12:00:04,,,
247,247,247,17245,ACTIVE,باقلوای عروس لبنان,2023-08-11 12:15:03,,,
248,248,248,49120,ACTIVE,رستوران ایتالیایی ژوانی,2023-08-11 12:15:09,,,
249,249,249,278650,ACTIVE,فست فود و سوخاری باران,2023-08-11 12:15:33,,,
250,250,250,290286,ACTIVE,فلافل هات داگ منصور دلیشز,2023-08-11 12:15:36,,,
